Name,Short description,Last price,New price,Image name
Apple iPhone 13 256 ГБ Midnight,"6.1"" | 12 Мп | 4 ГБ | Dual SIM",24 999 лей,23 999 лей,darwin-apple-iphone-13-4-gb-256-gb-dual-sim-midnight-237018.jpg
Apple iPhone 13 256 ГБ Starlight,| 12 Мп | 4 ГБ | Dual SIM,24 999 лей,23 999 лей,darwin-apple-iphone-13-4-gb-256-gb-dual-sim-starlight-236961.jpg
Apple iPhone 13 128 ГБ Красный,"6.1"" | 12 Мп | 4 ГБ | Dual SIM",21 999 лей,20 999 лей,darwin-apple-iphone-13-128-gb-red-237029.jpg
Apple iPhone 13 mini 256 ГБ Midnight,"5.4"" | 12 Мп | 4 ГБ | Single SIM",17 499 лей,16 399 лей,darwin-apple-iphone-13-mini-256-gb-midnight-30916.jpg
Apple iPhone 13 mini 256 ГБ Розовый,"5.4"" | 12 Мп | 4 ГБ | Single SIM",17 499 лей,16 399 лей,darwin-apple-iphone-13-mini-256-gb-pink-30915.jpg
Apple iPhone 13 mini 128 ГБ Розовый,"5.4"" | 12 Мп | 4 ГБ | Single SIM",14 999 лей,13 999 лей,darwin-apple-iphone-13-mini-128-gb-pink-30899.jpg
Apple iPhone 13 mini 256 ГБ Starlight,"5.4"" | 12 Мп | 4 ГБ | Single SIM",17 499 лей,16 399 лей,darwin-apple-iphone-13-mini-256-gb-starlight-30912.jpg
Apple iPhone 13 mini 128 ГБ Midnight,"5.4"" | 12 Мп | 4 ГБ | Single SIM",14 999 лей,13 999 лей,darwin-apple-iphone-13-mini-128-gb-midnight-30910.jpg
Apple iPhone 13 mini 512 ГБ Красный,"5.4"" | 12 Мп | 4 ГБ | Single SIM",21 999 лей,20 999 лей,darwin-apple-iphone-13-mini-4-gb-512-gb-red-095.jpg
Apple iPhone 13 mini 512 ГБ Синий,"5.4"" | 12 Мп | 4 ГБ | Single SIM",21 999 лей,20 999 лей,darwin-apple-iphone-13-mini-512-gb-blue-30917.jpg
Apple iPhone 13 mini 128 ГБ Starlight,"5.4"" | 12 Мп | 4 ГБ | Single SIM",14 999 лей,13 999 лей,darwin-apple-iphone-13-mini-128-gb-starlight-30911.jpg
